OBJECTID_1,OBJECTID,Id,GridID,Score,ShapeSTArea,ShapeSTLength
1,1951,0,3052,0,6969599.83808,10559.9998773333
2,622,0,1201,1,6969599.83808,10559.9998773333
3,769,0,1382,0,6969599.83808,10559.9998773333
4,718,0,1320,0,6969599.83808,10559.9998773333
5,1922,0,2995,1,6969599.83808,10559.9998773333
6,787,0,1410,3,6969599.83808,10559.9998773333
7,1386,0,2120,1,6969599.83808,10559.9998773333
8,884,0,1524,5,6969600.70421999,10560.0005335
9,1090,0,1754,3,6969599.83808,10559.9998773333
10,1504,0,2292,5,6969599.83808,10559.9998773333
11,886,0,1526,4,6969600.70421999,10560.0005335
12,1826,0,2814,3,6969600.70421999,10560.0005335
13,1866,0,2912,1,6969599.83808,10559.9998773333
14,1375,0,2109,3,6969599.83808,10559.9998773333
15,1898,0,2971,3,6969599.83808,10559.9998773333
16,1822,0,2810,2,6969600.70421999,10560.0005335
17,1323,0,2041,1,6969599.83808,10559.9998773333
18,210,0,670,1,6969599.83808,10559.9998773333
19,1075,0,1733,0,6969599.83808,10559.9998773333
20,1766,0,2705,3,6969599.83808,10559.9998773333
21,2157,0,3564,1,6969599.83808,10559.9998773333
22,2277,0,3909,2,6969599.83808,10559.9998773333
23,844,0,1476,5,6969599.83808,10559.9998773333
24,1626,0,2474,3,6969600.70421999,10560.0005335
25,1622,0,2470,4,6969599.83808,10559.9998773333
26,391,0,915,1,6969599.83808,10559.9998773333
27,540,0,1110,2,6969599.83808,10559.9998773333
28,129,0,540,2,6969599.83808,10559.9998773333
29,1149,0,1821,4,6969599.83808,10559.9998773333
30,1731,0,2646,3,6969599.83808,10559.9998773333
31,52,0,325,1,6969600.70421999,10560.0005335
32,665,0,1255,3,6969599.83808,10559.9998773333
33,1804,0,2767,1,6969599.83808,10559.9998773333
34,203,0,663,3,6969599.83808,10559.9998773333
35,243,0,722,4,6969599.83808,10559.9998773333
36,991,0,1644,3,6969599.83808,10559.9998773333
37,1305,0,2009,0,6969599.83808,10559.9998773333
38,225,0,701,0,6969599.83808,10559.9998773333
39,2331,0,4086,4,6969599.83808,10559.9998773333
40,2322,0,4035,2,6969600.70421999,10560.0005335
41,431,0,969,2,6969600.70421999,10560.0005335
42,451,0,1001,4,6969599.83808,10559.9998773333
43,1894,0,2967,3,6969599.83808,10559.9998773333
44,330,0,839,2,6969600.70421999,10560.0005335
45,2198,0,3679,2,6969599.83808,10559.9998773333
46,1296,0,2000,3,6969599.83808,10559.9998773333
47,2071,0,3340,0,6969599.83808,10559.9998773333
48,178,0,615,1,6969599.83808,10559.9998773333
49,907,0,1547,1,6969600.70421999,10560.0005335
50,875,0,1515,0,6969600.70421999,10560.0005335
51,1101,0,1765,4,6969599.83808,10559.9998773333
52,1543,0,2350,3,6969599.83808,10559.9998773333
53,2027,0,3262,3,6969599.83808,10559.9998773333
54,936,0,1583,4,6969600.70421999,10560.0005335
55,466,0,1016,2,6969599.83808,10559.9998773333
56,2056,0,3325,2,6969599.83808,10559.9998773333
57,1992,0,3158,2,6969599.83808,10559.9998773333
58,525,0,1085,1,6969599.83808,10559.9998773333
59,1100,0,1764,4,6969599.83808,10559.9998773333
60,1974,0,3106,0,6969599.83808,10559.9998773333
61,601,0,1180,3,6969599.83808,10559.9998773333
62,2182,0,3626,1,6969599.83808,10559.9998773333
63,1867,0,2913,1,6969599.83808,10559.9998773333
64,285,0,779,3,6969599.83808,10559.9998773333
65,1840,0,2859,0,6969600.70421999,10560.0005335
66,1,0,24,2,6969599.83808,10559.9998773333
67,1659,0,2528,3,6969599.83808,10559.9998773333
68,2,0,25,1,6969599.83808,10559.9998773333
69,1938,0,3039,1,6969599.83808,10559.9998773333
70,366,0,890,2,6969599.83808,10559.9998773333
71,568,0,1138,3,6969599.83808,10559.9998773333
72,1027,0,1680,0,6969599.83808,10559.9998773333
73,202,0,662,4,6969599.83808,10559.9998773333
74,1086,0,1750,2,6969599.83808,10559.9998773333
75,1813,0,2801,0,6969601.57036009,10560.0011896667
76,1998,0,3164,0,6969599.83808,10559.9998773333
77,200,0,660,4,6969599.83808,10559.9998773333
78,1270,0,1962,0,6969599.83808,10559.9998773333
79,2266,0,3860,2,6969599.83808,10559.9998773333
80,183,0,620,2,6969599.83808,10559.9998773333
81,639,0,1229,3,6969599.83808,10559.9998773333
82,863,0,1495,0,6969599.83808,10559.9998773333
83,1967,0,3099,2,6969599.83808,10559.9998773333
84,244,0,723,2,6969600.70421999,10560.0005335
85,78,0,427,3,6969599.83808,10559.9998773333
86,549,0,1119,5,6969600.70421999,10560.0005335
87,454,0,1004,2,6969599.83808,10559.9998773333
88,22,0,203,3,6969599.83808,10559.9998773333
89,908,0,1548,0,6969600.70421999,10560.0005335
90,214,0,674,3,6969599.83808,10559.9998773333
91,1633,0,2502,1,6969599.83808,10559.9998773333
92,1721,0,2636,2,6969599.83808,10559.9998773333
93,1655,0,2524,3,6969599.83808,10559.9998773333
94,395,0,933,1,6969600.70421999,10560.0005335
95,327,0,836,3,6969599.83808,10559.9998773333
96,1668,0,2537,0,6969599.83808,10559.9998773333
97,319,0,828,2,6969599.83808,10559.9998773333
98,2067,0,3336,0,6969599.83808,10559.9998773333
99,881,0,1521,4,6969600.70421999,10560.0005335
100,662,0,1252,2,6969599.83808,10559.9998773333
101,564,0,1134,2,6969599.83808,10559.9998773333
102,1198,0,1879,4,6969599.83808,10559.9998773333
103,95,0,465,3,6969599.83808,10559.9998773333
104,1106,0,1770,5,6969599.83808,10559.9998773333
105,866,0,1498,0,6969599.83808,10559.9998773333
106,1495,0,2283,3,6969599.83808,10559.9998773333
107,464,0,1014,2,6969599.83808,10559.9998773333
108,14,0,145,2,6969599.83808,10559.9998773333
109,1166,0,1838,0,6969599.83808,10559.9998773333
110,1338,0,2056,3,6969599.83808,10559.9998773333
111,764,0,1377,0,6969599.83808,10559.9998773333
112,1736,0,2651,2,6969599.83808,10559.9998773333
113,1208,0,1889,1,6969599.83808,10559.9998773333
114,616,0,1195,3,6969599.83808,10559.9998773333
115,2044,0,3279,0,6969599.83808,10559.9998773333
116,1266,0,1958,0,6969599.83808,10559.9998773333
117,49,0,322,1,6969600.70421999,10560.0005335
118,1546,0,2353,3,6969599.83808,10559.9998773333
119,156,0,586,0,6969600.70421999,10560.0005335
120,695,0,1297,3,6969599.83808,10559.9998773333
121,41,0,314,4,6969600.70421999,10560.0005335
122,854,0,1486,2,6969599.83808,10559.9998773333
123,904,0,1544,1,6969600.70421999,10560.0005335
124,47,0,320,3,6969600.70421999,10560.0005335
125,281,0,775,2,6969599.83808,10559.9998773333
126,1176,0,1848,0,6969599.83808,10559.9998773333
127,524,0,1084,2,6969599.83808,10559.9998773333
128,286,0,780,2,6969599.83808,10559.9998773333
129,2297,0,3968,2,6969599.83808,10559.9998773333
130,1129,0,1793,0,6969599.83808,10559.9998773333
131,1860,0,2879,2,6969599.83808,10559.9998773333
132,1507,0,2295,3,6969599.83808,10559.9998773333
133,635,0,1225,2,6969599.83808,10559.9998773333
134,2234,0,3790,3,6969599.83808,10559.9998773333
135,1489,0,2277,1,6969599.83808,10559.9998773333
136,1287,0,1991,2,6969599.83808,10559.9998773333
137,814,0,1437,0,6969599.83808,10559.9998773333
138,1084,0,1748,1,6969599.83808,10559.9998773333
139,1582,0,2409,3,6969599.83808,10559.9998773333
140,952,0,1599,1,6969599.83808,10559.9998773333
141,331,0,840,2,6969599.83808,10559.9998773333
142,675,0,1265,0,6969599.83808,10559.9998773333
143,688,0,1290,3,6969599.83808,10559.9998773333
144,754,0,1367,2,6969599.83808,10559.9998773333
145,177,0,614,1,6969599.83808,10559.9998773333
146,16,0,197,3,6969599.83808,10559.9998773333
147,694,0,1296,3,6969599.83808,10559.9998773333
148,2196,0,3677,2,6969599.83808,10559.9998773333
149,271,0,765,1,6969599.83808,10559.9998773333
150,149,0,560,1,6969600.70421999,10560.0005335
151,1940,0,3041,1,6969599.83808,10559.9998773333
152,404,0,942,3,6969600.70421999,10560.0005335
153,1449,0,2218,0,6969599.83808,10559.9998773333
154,1820,0,2808,3,6969600.70421999,10560.0005335
155,295,0,789,2,6969599.83808,10559.9998773333
156,116,0,498,2,6969599.83808,10559.9998773333
157,406,0,944,4,6969600.70421999,10560.0005335
158,546,0,1116,5,6969599.83808,10559.9998773333
159,1581,0,2408,3,6969599.83808,10559.9998773333
160,67,0,380,2,6969599.83808,10559.9998773333
161,2113,0,3450,0,6969599.83808,10559.9998773333
162,1391,0,2125,3,6969599.83808,10559.9998773333
163,1578,0,2405,2,6969600.70421999,10560.0005335
164,412,0,950,2,6969600.70421999,10560.0005335
165,2317,0,4030,1,6969600.70421999,10560.0005335
166,259,0,738,2,6969599.83808,10559.9998773333
167,251,0,730,1,6969599.83808,10559.9998773333
168,127,0,529,0,6969599.83808,10559.9998773333
169,793,0,1416,3,6969599.83808,10559.9998773333
170,107,0,489,3,6969599.83808,10559.9998773333
171,1325,0,2043,1,6969599.83808,10559.9998773333
172,172,0,609,2,6969599.83808,10559.9998773333
173,815,0,1438,0,6969599.83808,10559.9998773333
174,189,0,644,0,6969600.70421999,10560.0005335
175,1908,0,2981,1,6969599.83808,10559.9998773333
176,288,0,782,2,6969599.83808,10559.9998773333
177,379,0,903,2,6969599.83808,10559.9998773333
178,606,0,1185,3,6969599.83808,10559.9998773333
179,832,0,1464,4,6969599.83808,10559.9998773333
180,2004,0,3204,3,6969599.83808,10559.9998773333
181,861,0,1493,0,6969599.83808,10559.9998773333
182,1776,0,2739,0,6969599.83808,10559.9998773333
183,1156,0,1828,3,6969599.83808,10559.9998773333
184,456,0,1006,2,6969599.83808,10559.9998773333
185,1442,0,2211,1,6969599.83808,10559.9998773333
186,1244,0,1936,3,6969599.83808,10559.9998773333
187,1525,0,2332,0,6969599.83808,10559.9998773333
188,1921,0,2994,0,6969599.83808,10559.9998773333
189,1934,0,3035,3,6969599.83808,10559.9998773333
190,1521,0,2328,1,6969599.83808,10559.9998773333
191,392,0,916,1,6969599.83808,10559.9998773333
192,1237,0,1929,3,6969599.83808,10559.9998773333
193,1104,0,1768,4,6969599.83808,10559.9998773333
194,1205,0,1886,3,6969599.83808,10559.9998773333
195,1256,0,1948,1,6969599.83808,10559.9998773333
196,416,0,954,3,6969600.70421999,10560.0005335
197,2273,0,3905,1,6969599.83808,10559.9998773333
198,2263,0,3857,1,6969599.83808,10559.9998773333
199,2291,0,3962,1,6969599.83808,10559.9998773333
200,266,0,760,0,6969600.70421999,10560.0005335
201,302,0,796,1,6969599.83808,10559.9998773333
202,224,0,700,0,6969599.83808,10559.9998773333
203,1988,0,3154,2,6969599.83808,10559.9998773333
204,1737,0,2652,0,6969599.83808,10559.9998773333
205,1202,0,1883,4,6969600.70421999,10560.0005335
206,142,0,553,2,6969599.83808,10559.9998773333
207,1093,0,1757,4,6969600.70421999,10560.0005335
208,743,0,1356,3,6969599.83808,10559.9998773333
209,2226,0,3744,2,6969599.83808,10559.9998773333
210,268,0,762,2,6969599.83808,10559.9998773333
211,1585,0,2412,4,6969599.83808,10559.9998773333
212,1986,0,3152,2,6969599.83808,10559.9998773333
213,1193,0,1874,3,6969599.83808,10559.9998773333
214,557,0,1127,3,6969599.83808,10559.9998773333
215,2000,0,3166,0,6969599.83808,10559.9998773333
216,402,0,940,4,6969600.70421999,10560.0005335
217,1036,0,1694,4,6969599.83808,10559.9998773333
218,1817,0,2805,0,6969600.70421999,10560.0005335
219,1141,0,1813,3,6969599.83808,10559.9998773333
220,1382,0,2116,3,6969599.83808,10559.9998773333
221,1797,0,2760,4,6969599.83808,10559.9998773333
222,1540,0,2347,2,6969600.70421999,10560.0005335
223,529,0,1089,0,6969599.83808,10559.9998773333
224,407,0,945,3,6969601.57036009,10560.0011896667
225,1788,0,2751,2,6969599.83808,10559.9998773333
226,1859,0,2878,2,6969599.83808,10559.9998773333
227,152,0,582,3,6969599.83808,10559.9998773333
228,839,0,1471,4,6969599.83808,10559.9998773333
229,169,0,606,3,6969599.83808,10559.9998773333
230,709,0,1311,2,6969599.83808,10559.9998773333
231,1231,0,1923,0,6969599.83808,10559.9998773333
232,179,0,616,1,6969599.83808,10559.9998773333
233,1568,0,2395,0,6969600.70421999,10560.0005335
234,560,0,1130,2,6969599.83808,10559.9998773333
235,1971,0,3103,0,6969599.83808,10559.9998773333
236,566,0,1136,3,6969599.83808,10559.9998773333
237,1164,0,1836,0,6969600.70421999,10560.0005335
238,914,0,1554,0,6969600.70421999,10560.0005335
239,1368,0,2102,2,6969599.83808,10559.9998773333
240,2158,0,3565,0,6969600.70421999,10560.0005335
241,668,0,1258,1,6969599.83808,10559.9998773333
242,1493,0,2281,1,6969599.83808,10559.9998773333
243,812,0,1435,0,6969599.83808,10559.9998773333
244,1527,0,2334,0,6969599.83808,10559.9998773333
245,2294,0,3965,1,6969599.83808,10559.9998773333
246,857,0,1489,1,6969599.83808,10559.9998773333
247,1608,0,2456,2,6969599.83808,10559.9998773333
248,756,0,1369,2,6969599.83808,10559.9998773333
249,1833,0,2821,2,6969600.70421999,10560.0005335
250,1194,0,1875,5,6969599.83808,10559.9998773333
251,1499,0,2287,3,6969599.83808,10559.9998773333
252,1327,0,2045,2,6969599.83808,10559.9998773333
253,1598,0,2446,0,6969599.83808,10559.9998773333
254,1607,0,2455,0,6969599.83808,10559.9998773333
255,1108,0,1772,4,6969599.83808,10559.9998773333
256,1447,0,2216,0,6969599.83808,10559.9998773333
257,2233,0,3789,0,6969599.83808,10559.9998773333
258,77,0,426,3,6969599.83808,10559.9998773333
259,551,0,1121,3,6969599.83808,10559.9998773333
260,1399,0,2133,0,6969599.83808,10559.9998773333
261,2330,0,4085,3,6969599.83808,10559.9998773333
262,1635,0,2504,1,6969599.83808,10559.9998773333
263,278,0,772,1,6969599.83808,10559.9998773333
264,1337,0,2055,3,6969599.83808,10559.9998773333
265,576,0,1146,0,6969599.83808,10559.9998773333
266,1884,0,2930,2,6969599.83808,10559.9998773333
267,1226,0,1907,0,6969599.83808,10559.9998773333
268,547,0,1117,5,6969599.83808,10559.9998773333
269,809,0,1432,1,6969599.83808,10559.9998773333
270,1014,0,1667,2,6969599.83808,10559.9998773333
271,1089,0,1753,3,6969599.83808,10559.9998773333
272,87,0,436,2,6969599.83808,10559.9998773333
273,373,0,897,3,6969600.70421999,10560.0005335
274,264,0,758,0,6969599.83808,10559.9998773333
275,1432,0,2183,2,6969600.70421999,10560.0005335
276,1107,0,1771,5,6969599.83808,10559.9998773333
277,840,0,1472,3,6969599.83808,10559.9998773333
278,671,0,1261,1,6969599.83808,10559.9998773333
279,1956,0,3088,3,6969599.83808,10559.9998773333
280,1342,0,2060,3,6969599.83808,10559.9998773333
281,1072,0,1730,1,6969599.83808,10559.9998773333
282,1273,0,1965,1,6969599.83808,10559.9998773333
283,1930,0,3031,3,6969599.83808,10559.9998773333
284,1272,0,1964,1,6969599.83808,10559.9998773333
285,139,0,550,3,6969599.83808,10559.9998773333
286,2207,0,3688,2,6969599.83808,10559.9998773333
287,940,0,1587,4,6969599.83808,10559.9998773333
288,2029,0,3264,3,6969599.83808,10559.9998773333
289,2148,0,3555,1,6969600.70421999,10560.0005335
290,372,0,896,2,6969599.83808,10559.9998773333
291,207,0,667,3,6969599.83808,10559.9998773333
292,1955,0,3087,3,6969599.83808,10559.9998773333
293,1639,0,2508,0,6969599.83808,10559.9998773333
294,2190,0,3671,1,6969600.70421999,10560.0005335
295,2118,0,3455,0,6969599.83808,10559.9998773333
296,1885,0,2931,1,6969599.83808,10559.9998773333
297,1372,0,2106,3,6969599.83808,10559.9998773333
298,497,0,1057,5,6969599.83808,10559.9998773333
299,233,0,712,3,6969599.83808,10559.9998773333
300,323,0,832,2,6969599.83808,10559.9998773333
301,1142,0,1814,3,6969599.83808,10559.9998773333
302,917,0,1557,0,6969601.57036009,10560.0011896667
303,1046,0,1704,4,6969599.83808,10559.9998773333
304,237,0,716,3,6969599.83808,10559.9998773333
305,478,0,1028,1,6969599.83808,10559.9998773333
306,2316,0,4029,2,6969601.57036009,10560.0011896667
307,1547,0,2354,3,6969599.83808,10559.9998773333
308,1102,0,1766,4,6969599.83808,10559.9998773333
309,1003,0,1656,4,6969599.83808,10559.9998773333
310,359,0,883,2,6969599.83808,10559.9998773333
311,423,0,961,2,6969600.70421999,10560.0005335
312,1725,0,2640,4,6969599.83808,10559.9998773333
313,489,0,1049,2,6969599.83808,10559.9998773333
314,1392,0,2126,2,6969600.70421999,10560.0005335
315,135,0,546,2,6969599.83808,10559.9998773333
316,1542,0,2349,4,6969599.83808,10559.9998773333
317,2090,0,3393,0,6969600.70421999,10560.0005335
318,217,0,677,3,6969599.83808,10559.9998773333
319,633,0,1223,2,6969599.83808,10559.9998773333
320,992,0,1645,3,6969599.83808,10559.9998773333
321,1280,0,1984,1,6969599.83808,10559.9998773333
322,567,0,1137,2,6969599.83808,10559.9998773333
323,2304,0,3975,1,6969599.83808,10559.9998773333
324,2077,0,3380,3,6969600.70421999,10560.0005335
325,2060,0,3329,3,6969599.83808,10559.9998773333
326,2174,0,3618,1,6969599.83808,10559.9998773333
327,1340,0,2058,4,6969599.83808,10559.9998773333
328,162,0,599,2,6969599.83808,10559.9998773333
329,1062,0,1720,2,6969600.70421999,10560.0005335
330,258,0,737,1,6969599.83808,10559.9998773333
331,2161,0,3568,1,6969599.83808,10559.9998773333
332,1232,0,1924,1,6969599.83808,10559.9998773333
333,375,0,899,2,6969599.83808,10559.9998773333
334,223,0,699,1,6969599.83808,10559.9998773333
335,442,0,992,2,6969600.70421999,10560.0005335
336,969,0,1616,0,6969599.83808,10559.9998773333
337,2038,0,3273,2,6969599.83808,10559.9998773333
338,1121,0,1785,0,6969599.83808,10559.9998773333
339,1636,0,2505,1,6969599.83808,10559.9998773333
340,427,0,965,2,6969600.70421999,10560.0005335
341,2223,0,3741,1,6969599.83808,10559.9998773333
342,1150,0,1822,4,6969599.83808,10559.9998773333
343,1277,0,1981,0,6969599.83808,10559.9998773333
344,631,0,1210,0,6969599.83808,10559.9998773333
345,2126,0,3498,1,6969599.83808,10559.9998773333
346,897,0,1537,5,6969600.70421999,10560.0005335
347,508,0,1068,3,6969599.83808,10559.9998773333
348,455,0,1005,2,6969599.83808,10559.9998773333
349,101,0,483,2,6969599.83808,10559.9998773333
350,647,0,1237,3,6969599.83808,10559.9998773333
351,663,0,1253,3,6969599.83808,10559.9998773333
352,1520,0,2327,1,6969599.83808,10559.9998773333
353,2252,0,3846,1,6969599.83808,10559.9998773333
354,514,0,1074,2,6969599.83808,10559.9998773333
355,1742,0,2681,0,6969599.83808,10559.9998773333
356,2127,0,3499,2,6969599.83808,10559.9998773333
357,2137,0,3509,0,6969599.83808,10559.9998773333
358,1752,0,2691,1,6969599.83808,10559.9998773333
359,902,0,1542,2,6969600.70421999,10560.0005335
360,2285,0,3917,1,6969599.83808,10559.9998773333
361,924,0,1564,0,6969600.70421999,10560.0005335
362,385,0,909,2,6969599.83808,10559.9998773333
363,1037,0,1695,4,6969599.83808,10559.9998773333
364,1548,0,2355,4,6969599.83808,10559.9998773333
365,2007,0,3207,3,6969600.70421999,10560.0005335
366,2241,0,3797,2,6969600.70421999,10560.0005335
367,238,0,717,2,6969599.83808,10559.9998773333
368,1696,0,2587,3,6969599.83808,10559.9998773333
369,494,0,1054,1,6969599.83808,10559.9998773333
370,1623,0,2471,4,6969599.83808,10559.9998773333
371,1394,0,2128,1,6969599.83808,10559.9998773333
372,2259,0,3853,3,6969599.83808,10559.9998773333
373,1888,0,2934,1,6969599.83808,10559.9998773333
374,1240,0,1932,3,6969599.83808,10559.9998773333
375,860,0,1492,0,6969599.83808,10559.9998773333
376,1958,0,3090,2,6969599.83808,10559.9998773333
377,1754,0,2693,1,6969599.83808,10559.9998773333
378,219,0,679,3,6969599.83808,10559.9998773333
379,1561,0,2388,0,6969599.83808,10559.9998773333
380,441,0,991,1,6969599.83808,10559.9998773333
381,655,0,1245,3,6969600.70421999,10560.0005335
382,868,0,1500,0,6969599.83808,10559.9998773333
383,1895,0,2968,3,6969599.83808,10559.9998773333
384,2034,0,3269,1,6969599.83808,10559.9998773333
385,1224,0,1905,0,6969600.70421999,10560.0005335
386,1703,0,2594,3,6969599.83808,10559.9998773333
387,1011,0,1664,0,6969599.83808,10559.9998773333
388,732,0,1345,4,6969599.83808,10559.9998773333
389,376,0,900,1,6969599.83808,10559.9998773333
390,906,0,1546,2,6969601.57036009,10560.0011896667
391,1300,0,2004,3,6969599.83808,10559.9998773333
392,1216,0,1897,0,6969599.83808,10559.9998773333
393,1456,0,2225,3,6969599.83808,10559.9998773333
394,1664,0,2533,3,6969599.83808,10559.9998773333
395,1727,0,2642,3,6969599.83808,10559.9998773333
396,260,0,739,1,6969599.83808,10559.9998773333
397,364,0,888,2,6969599.83808,10559.9998773333
398,1158,0,1830,3,6969599.83808,10559.9998773333
399,1979,0,3145,3,6969599.83808,10559.9998773333
400,740,0,1353,2,6969599.83808,10559.9998773333
401,1490,0,2278,1,6969599.83808,10559.9998773333
402,763,0,1376,1,6969599.83808,10559.9998773333
403,534,0,1104,0,6969599.83808,10559.9998773333
404,1488,0,2276,0,6969599.83808,10559.9998773333
405,1248,0,1940,4,6969599.83808,10559.9998773333
406,435,0,973,0,6969600.70421999,10560.0005335
407,482,0,1032,0,6969599.83808,10559.9998773333
408,222,0,698,0,6969599.83808,10559.9998773333
409,1031,0,1689,1,6969599.83808,10559.9998773333
410,310,0,819,3,6969599.83808,10559.9998773333
411,890,0,1530,4,6969600.70421999,10560.0005335
412,2107,0,3444,1,6969599.83808,10559.9998773333
413,1654,0,2523,4,6969599.83808,10559.9998773333
414,990,0,1643,3,6969599.83808,10559.9998773333
415,166,0,603,3,6969599.83808,10559.9998773333
416,2282,0,3914,1,6969599.83808,10559.9998773333
417,1853,0,2872,1,6969599.83808,10559.9998773333
418,15,0,196,3,6969599.83808,10559.9998773333
419,1251,0,1943,4,6969599.83808,10559.9998773333
420,1088,0,1752,3,6969599.83808,10559.9998773333
421,2098,0,3435,2,6969599.83808,10559.9998773333
422,1910,0,2983,1,6969599.83808,10559.9998773333
423,33,0,262,3,6969599.83808,10559.9998773333
424,1901,0,2974,3,6969599.83808,10559.9998773333
425,389,0,913,2,6969599.83808,10559.9998773333
426,1511,0,2299,4,6969599.83808,10559.9998773333
427,2299,0,3970,2,6969599.83808,10559.9998773333
428,2059,0,3328,1,6969599.83808,10559.9998773333
429,585,0,1164,3,6969599.83808,10559.9998773333
430,1767,0,2706,2,6969600.70421999,10560.0005335
431,426,0,964,2,6969600.70421999,10560.0005335
432,1127,0,1791,1,6969599.83808,10559.9998773333
433,1611,0,2459,3,6969599.83808,10559.9998773333
434,1402,0,2153,0,6969600.70421999,10560.0005335
435,304,0,798,2,6969599.83808,10559.9998773333
436,799,0,1422,4,6969599.83808,10559.9998773333
437,772,0,1385,0,6969599.83808,10559.9998773333
438,749,0,1362,4,6969599.83808,10559.9998773333
439,65,0,378,2,6969599.83808,10559.9998773333
440,92,0,441,1,6969599.83808,10559.9998773333
441,1757,0,2696,4,6969599.83808,10559.9998773333
442,1057,0,1715,1,6969599.83808,10559.9998773333
443,1064,0,1722,0,6969599.83808,10559.9998773333
444,581,0,1151,0,6969600.70421999,10560.0005335
445,1465,0,2234,5,6969599.83808,10559.9998773333
446,2081,0,3384,1,6969600.70421999,10560.0005335
447,2169,0,3613,1,6969600.70421999,10560.0005335
448,2079,0,3382,1,6969600.70421999,10560.0005335
449,1169,0,1841,1,6969599.83808,10559.9998773333
450,1516,0,2304,1,6969599.83808,10559.9998773333
451,2100,0,3437,4,6969599.83808,10559.9998773333
452,1288,0,1992,3,6969599.83808,10559.9998773333
453,194,0,649,2,6969599.83808,10559.9998773333
454,798,0,1421,3,6969599.83808,10559.9998773333
455,2140,0,3512,0,6969599.83808,10559.9998773333
456,1861,0,2880,2,6969600.70421999,10560.0005335
457,1151,0,1823,4,6969599.83808,10559.9998773333
458,1496,0,2284,2,6969599.83808,10559.9998773333
459,1592,0,2419,2,6969599.83808,10559.9998773333
460,1781,0,2744,0,6969599.83808,10559.9998773333
461,1301,0,2005,2,6969599.83808,10559.9998773333
462,2156,0,3563,1,6969599.83808,10559.9998773333
463,2209,0,3727,3,6969599.83808,10559.9998773333
464,2103,0,3440,1,6969599.83808,10559.9998773333
465,117,0,499,1,6969599.83808,10559.9998773333
466,2238,0,3794,2,6969599.83808,10559.9998773333
467,1492,0,2280,2,6969599.83808,10559.9998773333
468,1695,0,2586,3,6969599.83808,10559.9998773333
469,26,0,255,4,6969599.83808,10559.9998773333
470,2166,0,3610,3,6969599.83808,10559.9998773333
471,548,0,1118,4,6969599.83808,10559.9998773333
472,2204,0,3685,2,6969599.83808,10559.9998773333
473,306,0,815,1,6969599.83808,10559.9998773333
474,643,0,1233,4,6969599.83808,10559.9998773333
475,1929,0,3030,3,6969599.83808,10559.9998773333
476,1168,0,1840,1,6969599.83808,10559.9998773333
477,434,0,972,1,6969600.70421999,10560.0005335
478,1045,0,1703,3,6969599.83808,10559.9998773333
479,1283,0,1987,2,6969599.83808,10559.9998773333
480,252,0,731,2,6969599.83808,10559.9998773333
481,2139,0,3511,0,6969599.83808,10559.9998773333
482,420,0,958,2,6969600.70421999,10560.0005335
483,336,0,845,1,6969599.83808,10559.9998773333
484,1174,0,1846,0,6969599.83808,10559.9998773333
485,124,0,526,2,6969599.83808,10559.9998773333
486,997,0,1650,4,6969599.83808,10559.9998773333
487,1883,0,2929,1,6969599.83808,10559.9998773333
488,973,0,1620,1,6969599.83808,10559.9998773333
489,734,0,1347,4,6969599.83808,10559.9998773333
490,393,0,931,1,6969600.70421999,10560.0005335
491,975,0,1622,0,6969599.83808,10559.9998773333
492,951,0,1598,4,6969599.83808,10559.9998773333
493,311,0,820,3,6969599.83808,10559.9998773333
494,425,0,963,2,6969600.70421999,10560.0005335
495,2093,0,3396,0,6969600.70421999,10560.0005335
496,1056,0,1714,4,6969599.83808,10559.9998773333
497,2279,0,3911,3,6969599.83808,10559.9998773333
498,1987,0,3153,2,6969599.83808,10559.9998773333
499,678,0,1268,0,6969599.83808,10559.9998773333
500,1167,0,1839,0,6969599.83808,10559.9998773333
501,910,0,1550,2,6969600.70421999,10560.0005335
502,254,0,733,2,6969599.83808,10559.9998773333
503,137,0,548,3,6969599.83808,10559.9998773333
504,817,0,1440,0,6969599.83808,10559.9998773333
505,487,0,1047,3,6969599.83808,10559.9998773333
506,343,0,852,2,6969599.83808,10559.9998773333
507,1557,0,2364,0,6969599.83808,10559.9998773333
508,1367,0,2101,1,6969599.83808,10559.9998773333
509,1331,0,2049,3,6969599.83808,10559.9998773333
510,1541,0,2348,2,6969599.83808,10559.9998773333
511,1035,0,1693,2,6969599.83808,10559.9998773333
512,1535,0,2342,2,6969599.83808,10559.9998773333
513,2269,0,3901,1,6969599.83808,10559.9998773333
514,2005,0,3205,3,6969599.83808,10559.9998773333
515,1761,0,2700,4,6969599.83808,10559.9998773333
516,2177,0,3621,1,6969599.83808,10559.9998773333
517,396,0,934,1,6969601.57036009,10560.0011896667
518,1928,0,3029,3,6969599.83808,10559.9998773333
519,1905,0,2978,0,6969599.83808,10559.9998773333
520,1835,0,2823,2,6969600.70421999,10560.0005335
521,2306,0,4019,1,6969601.57036009,10560.0011896667
522,176,0,613,2,6969599.83808,10559.9998773333
523,1845,0,2864,2,6969599.83808,10559.9998773333
524,722,0,1324,0,6969599.83808,10559.9998773333
525,1071,0,1729,0,6969599.83808,10559.9998773333
526,2114,0,3451,0,6969599.83808,10559.9998773333
527,984,0,1637,4,6969599.83808,10559.9998773333
528,476,0,1026,2,6969599.83808,10559.9998773333
529,1494,0,2282,2,6969599.83808,10559.9998773333
